Count;Season;gameId;Result;X;Y
2;nhl05.json;125;draw;10.0;8.0
5;nhl05.json;128;draw;4.0;10.0
8;nhl05.json;131;draw;12.0;8.0
12;nhl05.json;135;draw;7.0;5.0
14;nhl05.json;137;draw;10.0;7.0
15;nhl05.json;138;draw;4.0;16.0
16;nhl05.json;139;draw;11.0;9.0
20;nhl05.json;143;draw;9.0;12.0
21;nhl05.json;144;draw;12.0;14.0
31;nhl05.json;154;draw;6.0;11.0
36;nhl05.json;159;draw;11.0;9.0
43;nhl05.json;166;draw;11.0;17.0
45;nhl05.json;168;draw;12.0;10.0
52;nhl05.json;175;draw;10.0;13.0
53;nhl05.json;176;draw;12.0;7.0
54;nhl05.json;177;draw;17.0;13.0
60;nhl05.json;183;draw;6.0;6.0
61;nhl05.json;184;draw;13.0;17.0
68;nhl05.json;191;draw;24.0;13.0
74;nhl05.json;197;draw;8.0;8.0
79;nhl05.json;202;draw;15.0;15.0
84;nhl05.json;207;draw;17.0;13.0
86;nhl05.json;209;draw;18.0;18.0
88;nhl05.json;211;draw;15.0;15.0
94;nhl05.json;217;draw;8.0;15.0
95;nhl05.json;218;draw;16.0;16.0
100;nhl05.json;223;draw;17.0;18.0
107;nhl05.json;230;draw;14.0;19.0
108;nhl05.json;231;draw;27.0;20.0
114;nhl05.json;237;draw;13.0;25.0
126;nhl05.json;249;draw;17.0;19.0
133;nhl05.json;256;draw;26.0;18.0
136;nhl05.json;259;draw;18.0;17.0
142;nhl05.json;265;draw;15.0;16.0
145;nhl05.json;268;draw;12.0;18.0
149;nhl05.json;272;draw;27.0;15.0
153;nhl05.json;276;draw;23.0;16.0
161;nhl05.json;284;draw;21.0;31.0
165;nhl05.json;288;draw;24.0;15.0
171;nhl05.json;294;draw;18.0;20.0
186;nhl05.json;309;draw;23.0;19.0
187;nhl05.json;310;draw;24.0;26.0
192;nhl05.json;315;draw;29.0;17.0
194;nhl05.json;317;draw;22.0;29.0
196;nhl05.json;319;draw;16.0;25.0
198;nhl05.json;321;draw;22.0;23.0
214;nhl05.json;337;draw;29.0;26.0
215;nhl05.json;338;draw;30.0;27.0
220;nhl05.json;343;draw;27.0;31.0
225;nhl05.json;348;draw;33.0;17.0
236;nhl05.json;359;draw;22.0;31.0
