Count;Season;gameId;Result;X;Y
3;nhl05.json;126;lose;4.0;16.0
9;nhl05.json;132;lose;11.0;15.0
13;nhl05.json;136;lose;8.0;10.0
17;nhl05.json;140;lose;12.0;6.0
29;nhl05.json;152;lose;14.0;9.0
30;nhl05.json;153;lose;11.0;7.0
34;nhl05.json;157;lose;6.0;14.0
35;nhl05.json;158;lose;12.0;14.0
37;nhl05.json;160;lose;7.0;15.0
38;nhl05.json;161;lose;10.0;12.0
39;nhl05.json;162;lose;17.0;9.0
40;nhl05.json;163;lose;15.0;13.0
44;nhl05.json;167;lose;6.0;20.0
46;nhl05.json;169;lose;11.0;11.0
47;nhl05.json;170;lose;16.0;11.0
50;nhl05.json;173;lose;15.0;15.0
51;nhl05.json;174;lose;16.0;6.0
62;nhl05.json;185;lose;13.0;16.0
63;nhl05.json;186;lose;14.0;16.0
66;nhl05.json;189;lose;12.0;9.0
67;nhl05.json;190;lose;13.0;15.0
76;nhl05.json;199;lose;7.0;15.0
78;nhl05.json;201;lose;14.0;19.0
81;nhl05.json;204;lose;17.0;14.0
87;nhl05.json;210;lose;25.0;13.0
93;nhl05.json;216;lose;7.0;25.0
96;nhl05.json;219;lose;19.0;11.0
101;nhl05.json;224;lose;14.0;12.0
104;nhl05.json;227;lose;18.0;16.0
110;nhl05.json;233;lose;14.0;21.0
111;nhl05.json;234;lose;22.0;18.0
112;nhl05.json;235;lose;16.0;21.0
113;nhl05.json;236;lose;7.0;10.0
117;nhl05.json;240;lose;19.0;22.0
118;nhl05.json;241;lose;18.0;18.0
120;nhl05.json;243;lose;12.0;14.0
121;nhl05.json;244;lose;15.0;23.0
123;nhl05.json;246;lose;10.0;17.0
124;nhl05.json;247;lose;12.0;21.0
127;nhl05.json;250;lose;15.0;23.0
134;nhl05.json;257;lose;25.0;13.0
138;nhl05.json;261;lose;10.0;23.0
140;nhl05.json;263;lose;18.0;21.0
143;nhl05.json;266;lose;20.0;19.0
147;nhl05.json;270;lose;26.0;25.0
151;nhl05.json;274;lose;15.0;18.0
152;nhl05.json;275;lose;18.0;24.0
154;nhl05.json;277;lose;10.0;7.0
156;nhl05.json;279;lose;20.0;20.0
157;nhl05.json;280;lose;18.0;23.0
164;nhl05.json;287;lose;19.0;22.0
168;nhl05.json;291;lose;26.0;14.0
169;nhl05.json;292;lose;18.0;22.0
172;nhl05.json;295;lose;18.0;25.0
175;nhl05.json;298;lose;29.0;14.0
178;nhl05.json;301;lose;16.0;20.0
179;nhl05.json;302;lose;23.0;16.0
180;nhl05.json;303;lose;32.0;9.0
181;nhl05.json;304;lose;19.0;20.0
183;nhl05.json;306;lose;29.0;21.0
185;nhl05.json;308;lose;18.0;26.0
189;nhl05.json;312;lose;11.0;29.0
191;nhl05.json;314;lose;27.0;23.0
193;nhl05.json;316;lose;29.0;30.0
195;nhl05.json;318;lose;24.0;18.0
197;nhl05.json;320;lose;26.0;19.0
199;nhl05.json;322;lose;20.0;25.0
200;nhl05.json;323;lose;16.0;20.0
203;nhl05.json;326;lose;10.0;27.0
205;nhl05.json;328;lose;18.0;31.0
208;nhl05.json;331;lose;27.0;22.0
209;nhl05.json;332;lose;23.0;32.0
212;nhl05.json;335;lose;29.0;24.0
213;nhl05.json;336;lose;10.0;25.0
217;nhl05.json;340;lose;21.0;27.0
221;nhl05.json;344;lose;11.0;10.0
222;nhl05.json;345;lose;20.0;34.0
223;nhl05.json;346;lose;29.0;23.0
226;nhl05.json;349;lose;31.0;29.0
229;nhl05.json;352;lose;18.0;27.0
232;nhl05.json;355;lose;31.0;20.0
234;nhl05.json;357;lose;33.0;36.0
235;nhl05.json;358;lose;18.0;29.0
237;nhl05.json;360;lose;20.0;29.0
239;nhl05.json;362;lose;25.0;29.0
242;nhl05.json;365;lose;29.0;29.0
250;nhl05.json;373;lose;23.0;31.0
257;nhl05.json;380;lose;38.0;31.0
262;nhl05.json;385;lose;33.0;20.0
264;nhl05.json;387;lose;33.0;22.0
265;nhl05.json;388;lose;20.0;33.0
274;nhl05.json;397;lose;38.0;25.0
275;nhl05.json;398;lose;31.0;33.0
277;nhl05.json;400;lose;22.0;40.0
279;nhl05.json;402;lose;33.0;33.0
280;nhl05.json;403;lose;13.0;27.0
284;nhl05.json;407;lose;28.0;34.0
285;nhl05.json;408;lose;20.0;37.0
286;nhl05.json;409;lose;28.0;36.0
292;nhl05.json;415;lose;20.0;24.0
293;nhl05.json;416;lose;36.0;32.0
294;nhl05.json;417;lose;39.0;40.0
295;nhl05.json;418;lose;35.0;36.0
299;nhl05.json;422;lose;20.0;40.0
302;nhl05.json;425;lose;33.0;37.0
309;nhl05.json;432;lose;35.0;29.0
313;nhl05.json;436;lose;26.0;37.0
318;nhl05.json;441;lose;35.0;44.0
321;nhl05.json;444;lose;44.0;38.0
322;nhl05.json;445;lose;32.0;26.0
326;nhl05.json;449;lose;18.0;38.0
328;nhl05.json;451;lose;37.0;20.0
331;nhl05.json;454;lose;40.0;40.0
332;nhl05.json;455;lose;46.0;39.0
335;nhl05.json;458;lose;28.0;26.0
339;nhl05.json;462;lose;34.0;37.0
346;nhl05.json;469;lose;39.0;45.0
347;nhl05.json;470;lose;16.0;40.0
356;nhl05.json;479;lose;22.0;26.0
357;nhl05.json;480;lose;44.0;35.0
358;nhl05.json;481;lose;28.0;41.0
366;nhl05.json;489;lose;44.0;33.0
371;nhl05.json;494;lose;34.0;16.0
372;nhl05.json;495;lose;44.0;42.0
374;nhl05.json;497;lose;19.0;43.0
375;nhl05.json;498;lose;28.0;45.0
376;nhl05.json;499;lose;42.0;43.0
388;nhl05.json;511;lose;39.0;47.0
390;nhl05.json;513;lose;23.0;45.0
391;nhl05.json;514;lose;36.0;49.0
392;nhl05.json;515;lose;35.0;33.0
395;nhl05.json;518;lose;45.0;36.0
396;nhl05.json;519;lose;19.0;47.0
400;nhl05.json;523;lose;45.0;44.0
403;nhl05.json;526;lose;20.0;45.0
407;nhl05.json;530;lose;46.0;34.0
413;nhl05.json;536;lose;47.0;51.0
414;nhl05.json;537;lose;46.0;49.0
417;nhl05.json;540;lose;41.0;40.0
418;nhl05.json;541;lose;35.0;38.0
420;nhl05.json;543;lose;36.0;46.0
423;nhl05.json;546;lose;46.0;36.0
425;nhl05.json;548;lose;41.0;47.0
426;nhl05.json;549;lose;30.0;20.0
433;nhl05.json;556;lose;41.0;32.0
438;nhl05.json;561;lose;30.0;23.0
443;nhl05.json;566;lose;37.0;45.0
446;nhl05.json;569;lose;49.0;50.0
449;nhl05.json;572;lose;42.0;41.0
450;nhl05.json;573;lose;29.0;38.0
451;nhl05.json;574;lose;51.0;40.0
452;nhl05.json;575;lose;54.0;35.0
456;nhl05.json;579;lose;36.0;41.0
