Count;Season;gameId;Result;X;Y
0;nhl05.json;123;win;4.0;11.0
1;nhl05.json;124;win;5.0;7.0
4;nhl05.json;127;win;9.0;12.0
6;nhl05.json;129;win;8.0;6.0
7;nhl05.json;130;win;14.0;6.0
10;nhl05.json;133;win;12.0;7.0
11;nhl05.json;134;win;7.0;7.0
18;nhl05.json;141;win;7.0;9.0
19;nhl05.json;142;win;5.0;6.0
22;nhl05.json;145;win;11.0;10.0
23;nhl05.json;146;win;18.0;6.0
24;nhl05.json;147;win;9.0;17.0
25;nhl05.json;148;win;10.0;12.0
26;nhl05.json;149;win;9.0;9.0
27;nhl05.json;150;win;12.0;8.0
28;nhl05.json;151;win;8.0;12.0
32;nhl05.json;155;win;13.0;11.0
33;nhl05.json;156;win;9.0;6.0
41;nhl05.json;164;win;12.0;8.0
42;nhl05.json;165;win;14.0;6.0
48;nhl05.json;171;win;11.0;11.0
49;nhl05.json;172;win;12.0;13.0
55;nhl05.json;178;win;11.0;8.0
56;nhl05.json;179;win;22.0;6.0
57;nhl05.json;180;win;10.0;14.0
58;nhl05.json;181;win;13.0;17.0
59;nhl05.json;182;win;18.0;14.0
64;nhl05.json;187;win;13.0;8.0
65;nhl05.json;188;win;18.0;16.0
69;nhl05.json;192;win;13.0;15.0
70;nhl05.json;193;win;17.0;14.0
71;nhl05.json;194;win;12.0;8.0
72;nhl05.json;195;win;14.0;14.0
73;nhl05.json;196;win;11.0;18.0
75;nhl05.json;198;win;20.0;8.0
77;nhl05.json;200;win;13.0;8.0
80;nhl05.json;203;win;14.0;16.0
82;nhl05.json;205;win;15.0;9.0
83;nhl05.json;206;win;20.0;12.0
85;nhl05.json;208;win;21.0;14.0
89;nhl05.json;212;win;19.0;14.0
90;nhl05.json;213;win;14.0;22.0
91;nhl05.json;214;win;16.0;11.0
92;nhl05.json;215;win;10.0;16.0
97;nhl05.json;220;win;17.0;17.0
98;nhl05.json;221;win;16.0;22.0
99;nhl05.json;222;win;16.0;12.0
102;nhl05.json;225;win;19.0;17.0
103;nhl05.json;226;win;23.0;16.0
105;nhl05.json;228;win;16.0;17.0
106;nhl05.json;229;win;9.0;13.0
109;nhl05.json;232;win;8.0;7.0
115;nhl05.json;238;win;19.0;14.0
116;nhl05.json;239;win;21.0;19.0
119;nhl05.json;242;win;11.0;16.0
122;nhl05.json;245;win;29.0;18.0
125;nhl05.json;248;win;14.0;18.0
128;nhl05.json;251;win;21.0;15.0
129;nhl05.json;252;win;24.0;16.0
130;nhl05.json;253;win;14.0;19.0
131;nhl05.json;254;win;16.0;12.0
132;nhl05.json;255;win;23.0;7.0
135;nhl05.json;258;win;20.0;20.0
137;nhl05.json;260;win;22.0;31.0
139;nhl05.json;262;win;12.0;19.0
141;nhl05.json;264;win;16.0;23.0
144;nhl05.json;267;win;22.0;18.0
146;nhl05.json;269;win;20.0;25.0
148;nhl05.json;271;win;25.0;25.0
150;nhl05.json;273;win;16.0;18.0
155;nhl05.json;278;win;24.0;31.0
158;nhl05.json;281;win;19.0;20.0
159;nhl05.json;282;win;26.0;16.0
160;nhl05.json;283;win;25.0;26.0
162;nhl05.json;285;win;27.0;25.0
163;nhl05.json;286;win;18.0;14.0
166;nhl05.json;289;win;18.0;29.0
167;nhl05.json;290;win;25.0;10.0
170;nhl05.json;293;win;24.0;17.0
173;nhl05.json;296;win;28.0;20.0
174;nhl05.json;297;win;25.0;29.0
176;nhl05.json;299;win;18.0;27.0
177;nhl05.json;300;win;27.0;24.0
182;nhl05.json;305;win;27.0;19.0
184;nhl05.json;307;win;22.0;10.0
188;nhl05.json;311;win;28.0;18.0
190;nhl05.json;313;win;18.0;16.0
201;nhl05.json;324;win;32.0;25.0
202;nhl05.json;325;win;27.0;20.0
204;nhl05.json;327;win;28.0;20.0
206;nhl05.json;329;win;30.0;20.0
207;nhl05.json;330;win;29.0;31.0
210;nhl05.json;333;win;20.0;11.0
211;nhl05.json;334;win;16.0;20.0
216;nhl05.json;339;win;25.0;31.0
218;nhl05.json;341;win;20.0;34.0
219;nhl05.json;342;win;18.0;18.0
224;nhl05.json;347;win;34.0;21.0
227;nhl05.json;350;win;31.0;18.0
228;nhl05.json;351;win;26.0;32.0
230;nhl05.json;353;win;27.0;20.0
231;nhl05.json;354;win;27.0;32.0
233;nhl05.json;356;win;22.0;18.0
238;nhl05.json;361;win;36.0;32.0
240;nhl05.json;363;win;24.0;21.0
241;nhl05.json;364;win;31.0;31.0
243;nhl05.json;366;win;32.0;29.0
244;nhl05.json;367;win;29.0;31.0
245;nhl05.json;368;win;31.0;26.0
247;nhl05.json;370;win;31.0;20.0
248;nhl05.json;371;win;18.0;33.0
249;nhl05.json;372;win;24.0;28.0
251;nhl05.json;374;win;11.0;14.0
252;nhl05.json;375;win;35.0;20.0
253;nhl05.json;376;win;33.0;23.0
255;nhl05.json;378;win;18.0;18.0
256;nhl05.json;379;win;29.0;34.0
258;nhl05.json;381;win;21.0;38.0
260;nhl05.json;383;win;38.0;33.0
263;nhl05.json;386;win;18.0;37.0
268;nhl05.json;391;win;33.0;33.0
271;nhl05.json;394;win;28.0;34.0
272;nhl05.json;395;win;26.0;23.0
273;nhl05.json;396;win;34.0;25.0
276;nhl05.json;399;win;37.0;24.0
278;nhl05.json;401;win;30.0;23.0
281;nhl05.json;404;win;24.0;23.0
283;nhl05.json;406;win;38.0;28.0
287;nhl05.json;410;win;35.0;22.0
288;nhl05.json;411;win;31.0;25.0
290;nhl05.json;413;win;33.0;13.0
291;nhl05.json;414;win;26.0;22.0
298;nhl05.json;421;win;23.0;16.0
303;nhl05.json;426;win;35.0;39.0
305;nhl05.json;428;win;28.0;38.0
306;nhl05.json;429;win;20.0;35.0
307;nhl05.json;430;win;36.0;26.0
310;nhl05.json;433;win;35.0;22.0
316;nhl05.json;439;win;33.0;31.0
317;nhl05.json;440;win;42.0;22.0
319;nhl05.json;442;win;26.0;44.0
320;nhl05.json;443;win;14.0;22.0
324;nhl05.json;447;win;35.0;34.0
325;nhl05.json;448;win;22.0;39.0
327;nhl05.json;450;win;38.0;26.0
329;nhl05.json;452;win;39.0;39.0
330;nhl05.json;453;win;31.0;37.0
334;nhl05.json;457;win;39.0;26.0
337;nhl05.json;460;win;36.0;37.0
338;nhl05.json;461;win;40.0;18.0
340;nhl05.json;463;win;30.0;22.0
342;nhl05.json;465;win;26.0;16.0
344;nhl05.json;467;win;30.0;26.0
348;nhl05.json;471;win;46.0;35.0
349;nhl05.json;472;win;32.0;35.0
350;nhl05.json;473;win;41.0;18.0
352;nhl05.json;475;win;39.0;34.0
353;nhl05.json;476;win;42.0;33.0
354;nhl05.json;477;win;40.0;28.0
355;nhl05.json;478;win;43.0;23.0
359;nhl05.json;482;win;34.0;32.0
361;nhl05.json;484;win;35.0;34.0
363;nhl05.json;486;win;30.0;43.0
364;nhl05.json;487;win;40.0;42.0
365;nhl05.json;488;win;32.0;36.0
367;nhl05.json;490;win;43.0;37.0
370;nhl05.json;493;win;44.0;39.0
373;nhl05.json;496;win;34.0;35.0
377;nhl05.json;500;win;36.0;18.0
379;nhl05.json;502;win;43.0;49.0
380;nhl05.json;503;win;44.0;39.0
381;nhl05.json;504;win;28.0;47.0
382;nhl05.json;505;win;37.0;32.0
383;nhl05.json;506;win;28.0;37.0
384;nhl05.json;507;win;34.0;34.0
385;nhl05.json;508;win;24.0;40.0
387;nhl05.json;510;win;37.0;30.0
393;nhl05.json;516;win;32.0;39.0
394;nhl05.json;517;win;44.0;45.0
398;nhl05.json;521;win;46.0;30.0
399;nhl05.json;522;win;35.0;40.0
401;nhl05.json;524;win;39.0;35.0
404;nhl05.json;527;win;51.0;46.0
405;nhl05.json;528;win;45.0;35.0
409;nhl05.json;532;win;39.0;38.0
410;nhl05.json;533;win;49.0;36.0
416;nhl05.json;539;win;45.0;51.0
419;nhl05.json;542;win;53.0;49.0
421;nhl05.json;544;win;35.0;27.0
422;nhl05.json;545;win;31.0;32.0
424;nhl05.json;547;win;21.0;38.0
428;nhl05.json;551;win;24.0;37.0
429;nhl05.json;552;win;47.0;22.0
431;nhl05.json;554;win;46.0;38.0
434;nhl05.json;557;win;35.0;41.0
435;nhl05.json;558;win;55.0;36.0
436;nhl05.json;559;win;33.0;42.0
437;nhl05.json;560;win;46.0;51.0
439;nhl05.json;562;win;52.0;38.0
444;nhl05.json;567;win;38.0;47.0
445;nhl05.json;568;win;53.0;25.0
447;nhl05.json;570;win;50.0;42.0
448;nhl05.json;571;win;48.0;48.0
453;nhl05.json;576;win;40.0;57.0
455;nhl05.json;578;win;23.0;47.0
458;nhl05.json;581;win;50.0;30.0
461;nhl05.json;584;win;37.0;37.0
463;nhl05.json;586;win;48.0;30.0
465;nhl05.json;588;win;43.0;51.0
469;nhl05.json;592;win;50.0;47.0
470;nhl05.json;593;win;52.0;42.0
471;nhl05.json;594;win;37.0;25.0
473;nhl05.json;596;win;39.0;42.0
475;nhl05.json;598;win;54.0;42.0
476;nhl05.json;599;win;55.0;25.0
478;nhl05.json;601;win;54.0;45.0
479;nhl05.json;602;win;34.0;59.0
480;nhl05.json;603;win;42.0;31.0
484;nhl05.json;607;win;54.0;38.0
485;nhl05.json;608;win;52.0;49.0
487;nhl05.json;610;win;39.0;56.0
489;nhl05.json;612;win;51.0;38.0
491;nhl05.json;614;win;42.0;59.0
492;nhl05.json;615;win;42.0;43.0
496;nhl05.json;619;win;36.0;45.0
501;nhl05.json;624;win;43.0;60.0
503;nhl05.json;626;win;49.0;25.0
504;nhl05.json;627;win;43.0;56.0
506;nhl05.json;629;win;51.0;51.0
508;nhl05.json;631;win;59.0;42.0
509;nhl05.json;632;win;53.0;55.0
510;nhl05.json;633;win;55.0;38.0
511;nhl05.json;634;win;58.0;59.0
514;nhl05.json;637;win;28.0;31.0
515;nhl05.json;638;win;51.0;44.0
519;nhl05.json;642;win;38.0;55.0
520;nhl05.json;643;win;40.0;25.0
521;nhl05.json;644;win;59.0;62.0
522;nhl05.json;645;win;58.0;31.0
525;nhl05.json;648;win;48.0;25.0
526;nhl05.json;649;win;45.0;30.0
527;nhl05.json;650;win;45.0;53.0
528;nhl05.json;651;win;32.0;31.0
534;nhl05.json;657;win;44.0;45.0
538;nhl05.json;661;win;61.0;57.0
539;nhl05.json;662;win;57.0;58.0
541;nhl05.json;664;win;59.0;31.0
543;nhl05.json;666;win;62.0;25.0
544;nhl05.json;667;win;45.0;47.0
546;nhl05.json;669;win;46.0;62.0
549;nhl05.json;672;win;32.0;57.0
555;nhl05.json;678;win;55.0;51.0
557;nhl05.json;680;win;44.0;51.0
561;nhl05.json;684;win;57.0;61.0
567;nhl05.json;690;win;58.0;52.0
568;nhl05.json;691;win;36.0;57.0
569;nhl05.json;692;win;66.0;42.0
570;nhl05.json;693;win;57.0;48.0
571;nhl05.json;694;win;46.0;43.0
572;nhl05.json;695;win;46.0;38.0
576;nhl05.json;699;win;37.0;68.0
577;nhl05.json;700;win;59.0;48.0
579;nhl05.json;702;win;66.0;51.0
581;nhl05.json;704;win;62.0;36.0
584;nhl05.json;707;win;59.0;61.0
587;nhl05.json;710;win;49.0;43.0
588;nhl05.json;711;win;61.0;55.0
591;nhl05.json;714;win;27.0;61.0
592;nhl05.json;715;win;66.0;31.0
593;nhl05.json;716;win;68.0;51.0
597;nhl05.json;720;win;62.0;50.0
598;nhl05.json;721;win;68.0;48.0
601;nhl05.json;724;win;50.0;63.0
604;nhl05.json;727;win;50.0;50.0
606;nhl05.json;729;win;36.0;61.0
607;nhl05.json;730;win;57.0;63.0
608;nhl05.json;731;win;31.0;39.0
618;nhl05.json;741;win;70.0;50.0
620;nhl05.json;743;win;52.0;68.0
622;nhl05.json;745;win;68.0;61.0
624;nhl05.json;747;win;38.0;63.0
625;nhl05.json;748;win;48.0;39.0
626;nhl05.json;749;win;46.0;58.0
627;nhl05.json;750;win;38.0;54.0
630;nhl05.json;753;win;63.0;34.0
633;nhl05.json;756;win;40.0;68.0
635;nhl05.json;758;win;74.0;52.0
637;nhl05.json;760;win;52.0;52.0
638;nhl05.json;761;win;39.0;58.0
650;nhl05.json;773;win;47.0;41.0
652;nhl05.json;775;win;61.0;54.0
654;nhl05.json;777;win;66.0;34.0
655;nhl05.json;778;win;58.0;72.0
656;nhl05.json;779;win;73.0;32.0
657;nhl05.json;780;win;72.0;68.0
666;nhl05.json;789;win;67.0;70.0
667;nhl05.json;790;win;52.0;52.0
669;nhl05.json;792;win;41.0;55.0
670;nhl05.json;793;win;60.0;78.0
671;nhl05.json;794;win;48.0;52.0
673;nhl05.json;796;win;52.0;50.0
674;nhl05.json;797;win;55.0;62.0
675;nhl05.json;798;win;60.0;43.0
680;nhl05.json;803;win;70.0;41.0
681;nhl05.json;804;win;52.0;54.0
682;nhl05.json;805;win;63.0;67.0
686;nhl05.json;809;win;54.0;71.0
688;nhl05.json;811;win;67.0;46.0
690;nhl05.json;813;win;75.0;35.0
693;nhl05.json;816;win;75.0;72.0
695;nhl05.json;818;win;57.0;54.0
696;nhl05.json;819;win;62.0;64.0
698;nhl05.json;821;win;58.0;65.0
699;nhl05.json;822;win;64.0;67.0
702;nhl05.json;825;win;56.0;43.0
704;nhl05.json;827;win;71.0;52.0
705;nhl05.json;828;win;72.0;77.0
706;nhl05.json;829;win;77.0;72.0
707;nhl05.json;830;win;46.0;65.0
708;nhl05.json;831;win;69.0;61.0
709;nhl05.json;832;win;64.0;80.0
717;nhl05.json;840;win;58.0;79.0
718;nhl05.json;841;win;73.0;43.0
719;nhl05.json;842;win;74.0;59.0
726;nhl05.json;849;win;77.0;75.0
728;nhl05.json;851;win;72.0;48.0
731;nhl05.json;854;win;74.0;52.0
734;nhl05.json;857;win;67.0;79.0
736;nhl05.json;859;win;81.0;70.0
739;nhl05.json;862;win;63.0;44.0
742;nhl05.json;865;win;62.0;83.0
744;nhl05.json;867;win;70.0;63.0
749;nhl05.json;872;win;44.0;74.0
750;nhl05.json;873;win;82.0;58.0
754;nhl05.json;877;win;81.0;45.0
756;nhl05.json;879;win;74.0;73.0
757;nhl05.json;880;win;69.0;63.0
759;nhl05.json;882;win;72.0;48.0
760;nhl05.json;883;win;73.0;43.0
761;nhl05.json;884;win;58.0;60.0
762;nhl05.json;885;win;58.0;79.0
