Count;Season;gameId;Result;X;Y
2;nhl05.json;125;draw;0.625;0.44444445
5;nhl05.json;128;draw;0.25;0.5555556
8;nhl05.json;131;draw;0.75;0.6666667
12;nhl05.json;135;draw;0.35;0.3125
14;nhl05.json;137;draw;0.625;0.3888889
15;nhl05.json;138;draw;0.22222222;1.0
16;nhl05.json;139;draw;0.6875;0.45
20;nhl05.json;143;draw;0.64285713;0.6
21;nhl05.json;144;draw;0.85714287;0.7777778
31;nhl05.json;154;draw;0.3;0.55
36;nhl05.json;159;draw;0.5;0.375
43;nhl05.json;166;draw;0.55;0.77272725
45;nhl05.json;168;draw;0.5;0.5
52;nhl05.json;175;draw;0.45454547;0.5
53;nhl05.json;176;draw;0.54545456;0.3181818
54;nhl05.json;177;draw;0.7083333;0.5416667
60;nhl05.json;183;draw;0.27272728;0.25
61;nhl05.json;184;draw;0.5416667;0.77272725
68;nhl05.json;191;draw;0.9230769;0.5
74;nhl05.json;197;draw;0.33333334;0.33333334
79;nhl05.json;202;draw;0.53571427;0.5769231
84;nhl05.json;207;draw;0.60714287;0.5
86;nhl05.json;209;draw;0.64285713;0.75
88;nhl05.json;211;draw;0.625;0.5769231
94;nhl05.json;217;draw;0.2857143;0.46875
95;nhl05.json;218;draw;0.53333336;0.53333336
100;nhl05.json;223;draw;0.7083333;0.5625
107;nhl05.json;230;draw;0.46666667;0.59375
108;nhl05.json;231;draw;0.84375;0.6666667
114;nhl05.json;237;draw;0.40625;0.78125
126;nhl05.json;249;draw;0.53125;0.59375
133;nhl05.json;256;draw;0.7647059;0.5294118
136;nhl05.json;259;draw;0.47368422;0.53125
142;nhl05.json;265;draw;0.41666666;0.47058824
145;nhl05.json;268;draw;0.3529412;0.47368422
149;nhl05.json;272;draw;0.75;0.41666666
153;nhl05.json;276;draw;0.71875;0.42105263
161;nhl05.json;284;draw;0.525;0.775
165;nhl05.json;288;draw;0.7058824;0.41666666
171;nhl05.json;294;draw;0.5;0.47619048
186;nhl05.json;309;draw;0.52272725;0.5
187;nhl05.json;310;draw;0.6;0.59090906
192;nhl05.json;315;draw;0.6904762;0.425
194;nhl05.json;317;draw;0.55;0.6304348
196;nhl05.json;319;draw;0.3809524;0.54347825
198;nhl05.json;321;draw;0.52380955;0.54761904
214;nhl05.json;337;draw;0.6904762;0.59090906
215;nhl05.json;338;draw;0.625;0.5625
220;nhl05.json;343;draw;0.5869565;0.67391306
225;nhl05.json;348;draw;0.66;0.38636363
236;nhl05.json;359;draw;0.45833334;0.67391306
246;nhl05.json;369;draw;0.5;0.25
254;nhl05.json;377;draw;0.64;0.62
259;nhl05.json;382;draw;0.5740741;0.41666666
261;nhl05.json;384;draw;0.6875;0.6875
266;nhl05.json;389;draw;0.5416667;0.47916666
267;nhl05.json;390;draw;0.76086956;0.6875
269;nhl05.json;392;draw;0.3846154;0.42
270;nhl05.json;393;draw;0.5740741;0.42592594
282;nhl05.json;405;draw;0.68;0.625
289;nhl05.json;412;draw;0.42307693;0.67241377
296;nhl05.json;419;draw;0.26923078;0.537037
297;nhl05.json;420;draw;0.625;0.5
300;nhl05.json;423;draw;0.64285713;0.84
301;nhl05.json;424;draw;0.5185185;0.58928573
304;nhl05.json;427;draw;0.26;0.67741936
308;nhl05.json;431;draw;0.53571427;0.5862069
311;nhl05.json;434;draw;0.6333333;0.8269231
312;nhl05.json;435;draw;0.41666666;0.44444445
314;nhl05.json;437;draw;0.2857143;0.51785713
315;nhl05.json;438;draw;0.41666666;0.55172414
323;nhl05.json;446;draw;0.51724136;0.5833333
333;nhl05.json;456;draw;0.53333336;0.4375
336;nhl05.json;459;draw;0.375;0.6875
341;nhl05.json;464;draw;0.3548387;0.66129035
343;nhl05.json;466;draw;0.515625;0.578125
345;nhl05.json;468;draw;0.67741936;0.59375
