Count;Season;gameId;Result;X;Y
0;nhl05.json;123;win;0.2857143;0.6875
1;nhl05.json;124;win;0.35714287;0.3888889
4;nhl05.json;127;win;0.64285713;1.0
6;nhl05.json;129;win;0.5;0.375
7;nhl05.json;130;win;1.0;0.375
10;nhl05.json;133;win;0.6666667;0.4375
11;nhl05.json;134;win;0.4375;0.3888889
18;nhl05.json;141;win;0.3888889;0.45
19;nhl05.json;142;win;0.2777778;0.33333334
22;nhl05.json;145;win;0.55;0.5555556
23;nhl05.json;146;win;0.9;0.33333334
24;nhl05.json;147;win;0.5;0.85
25;nhl05.json;148;win;0.45454547;0.6666667
26;nhl05.json;149;win;0.4090909;0.4090909
27;nhl05.json;150;win;0.6;0.4
28;nhl05.json;151;win;0.44444445;0.6666667
32;nhl05.json;155;win;0.7222222;0.6875
33;nhl05.json;156;win;0.45;0.33333334
41;nhl05.json;164;win;0.54545456;0.36363637
42;nhl05.json;165;win;0.6363636;0.3
48;nhl05.json;171;win;0.5;0.42307693
49;nhl05.json;172;win;0.54545456;0.59090906
55;nhl05.json;178;win;0.45833334;0.33333334
56;nhl05.json;179;win;0.9166667;0.27272728
57;nhl05.json;180;win;0.3846154;0.5833333
58;nhl05.json;181;win;0.5416667;0.85
59;nhl05.json;182;win;0.75;0.53846157
64;nhl05.json;187;win;0.65;0.36363637
65;nhl05.json;188;win;0.8181818;0.61538464
69;nhl05.json;192;win;0.59090906;0.5769231
70;nhl05.json;193;win;0.77272725;0.5833333
71;nhl05.json;194;win;0.42857143;0.30769232
72;nhl05.json;195;win;0.5;0.53846157
73;nhl05.json;196;win;0.39285713;0.6923077
75;nhl05.json;198;win;0.7692308;0.2857143
77;nhl05.json;200;win;0.5416667;0.30769232
80;nhl05.json;203;win;0.53846157;0.5714286
82;nhl05.json;205;win;0.6818182;0.34615386
83;nhl05.json;206;win;0.8333333;0.46153846
85;nhl05.json;208;win;0.75;0.53846157
89;nhl05.json;212;win;0.7916667;0.5
90;nhl05.json;213;win;0.46666667;0.78571427
91;nhl05.json;214;win;0.53333336;0.42307693
92;nhl05.json;215;win;0.3846154;0.5714286
97;nhl05.json;220;win;0.60714287;0.56666666
98;nhl05.json;221;win;0.5;0.73333335
99;nhl05.json;222;win;0.53333336;0.42857143
102;nhl05.json;225;win;0.7307692;0.53125
103;nhl05.json;226;win;0.76666665;0.53333336
105;nhl05.json;228;win;0.61538464;0.56666666
106;nhl05.json;229;win;0.32142857;0.43333334
109;nhl05.json;232;win;0.26666668;0.25
115;nhl05.json;238;win;0.7307692;0.46666667
116;nhl05.json;239;win;0.75;0.6333333
119;nhl05.json;242;win;0.36666667;0.47058824
122;nhl05.json;245;win;0.85294116;0.5294118
125;nhl05.json;248;win;0.46666667;0.5625
128;nhl05.json;251;win;0.75;0.44117647
129;nhl05.json;252;win;0.85714287;0.5
130;nhl05.json;253;win;0.4375;0.5277778
131;nhl05.json;254;win;0.5;0.375
132;nhl05.json;255;win;0.76666665;0.21875
135;nhl05.json;258;win;0.5555556;0.6666667
