match_id,day,team,inns,wickets,teamruns,player1,player1_score,player2,player2_score
19740715_00013_TheOval,1,England,1,1,19,"Lloyd, D {b1947-3-18}",12,0,0
19760828_00038_Lord's,1,England,1,4,47,"Gooch, GA {b1953-7-23}",5,"Randall, DW {b1951-2-24}",10
19780524_00050_OldTraf,1,Pakistan,1,2,12,Mudassar Nazar {b1956-4-6},6,Javed Miandad {b1957-6-12},1
19790613_00066_TrentBr,1,Australia,1,0,17,"Darling, WM {b1957-5-1}",10,"Hilditch, AMJ {b1956-5-20}",6
19790616_00069_OldTraf,1,Sri Lanka,1,10,238,0,0,0,0
19800528_00089_Headgly,1,England,1,3,35,"Tavare, CJ {b1954-10-27}",9,"Gower, DI {b1957-4-1}",10
19830609_00199_OldTraf,1,West Indies,1,2,67,"Richards, IVA {b1952-3-7}",12,"Bacchus, SFAF {b1954-1-31}",3
19830611_00201_Headgly,1,West Indies,1,5,160,"Gomes, HA {b1953-7-13}",60,"Dujon, PJL {b1956-5-28}",3
19830611_00204_Edgbast,1,New Zealand,1,8,211,"Crowe, MD {b1962-9-22}",30,"Lees, WK {b1952-3-19}",15
19880523_00520_Lord's,1,West Indies,1,6,125,"Dujon, PJL {b1956-5-28}",15,"Marshall, MD {b1958-4-18}",9
19910523_00676_Edgbast,1,England,1,4,98,"Atherton, MA {b1968-3-23}",35,"Botham, IT {b1955-11-24}",1
19920822_00760_Lord's,1,England,1,1,15,"Botham, IT {b1955-11-24}",14,"Smith, RA {b1963-9-13}",0
19930321_00819_ChrChch,1,Australia,1,2,51,"Waugh, ME {b1965-6-2}",32,"Boon, DC {b1960-12-29}",9
19940827_00920_OldTraf,1,England,1,4,80,"Thorpe, GP {b1969-8-1}",27,"Rhodes, SJ {b1964-6-17}",10
19950524_01000_TrentBr,1,West Indies,1,1,76,"Campbell, SL {b1970-11-1}",34,"Lara, BC {b1969-5-2}",6
19960526_01104_OldTraf,1,England,1,1,2,"Brown, AD {b1970-2-11}",1,"Smith, NMK {b1967-7-27}",0
19990529_01467_Edgbast,1,England,1,3,73,"Thorpe, GP {b1969-8-1}",31,"Fairbrother, NH {b1963-9-9}",1
19990606_01475_Headgly,1,New Zealand,1,3,70,"Fleming, SP {b1973-4-1}",9,"Twose, RG {b1968-4-17}",1
20000108_01535_WelltnS,1,West Indies,1,1,43,"Jacobs, RD {b1967-11-26}",10,0,0
20000530_01597_Dhaka,1,Bangladesh,1,2,98,Habibul Bashar {b1972-8-17},45,Aminul Islam {b1968-2-2},32
20040910_02169_Edgbast,1,England,1,5,198,"Collingwood, PD {b1976-5-26}",35,"Jones, GO {b1976-7-14}",23
20040915_02174_Edgbast,1,washout,0,0,0,0,0,0,0
20040917_02177_RoseBwl,1,England,1,3,118,"Trescothick, ME {b1975-12-25}",64,"Flintoff, A {b1977-12-6}",21
20040918_02178_TheOval,1,West Indies,1,0,20,"Gayle, CH {b1979-9-21}",12,"Hinds, WW {b1976-9-7}",6
20060818_02405_ColSSC,1,India,1,0,11,"Dravid, RS {b1973-1-11}",9,"Tendulkar, SR {b1973-4-24}",2
20190709_04190_OldTraf,1,New Zealand,1,5,211,"Taylor, LRPL {b1984-3-8}",67,"Latham, TWM {b1992-4-2}",3
20210722_04311_Bridgtn,1,washout,0,0,0,0,0,0,0
20230501_04572_Ktpur,1,United Arab Emirates,1,9,106,"Meiyappan, KP {b2000-10-8}",1,0,0
20230910_04639_ColmboR,1,India,1,2,147,"Kohli, V {b1988-11-5}",8,"Rahul, KL {b1992-4-18}",17
