match_id,teams,innings,retired,player,wickets,teamscore,playerruns,resumewickets,resumeruns
19750611_00024_TheOval,2,1,1,"Mendis, LRD {b1952-8-25}",2,150,32,NA,NA
19750611_00024_TheOval,2,1,2,"Wettimuny, SRD {b1949-2-7}",2,164,53,NA,NA
19820114_00135_Sydney,2,1,1,Wasim Bari {b1948-3-23},9,154,9,NA,NA
19820116_00136_Gabba,1,1,1,Wasim Raja {b1952-7-3},4,149,12,NA,NA
19830122_00173_MCG,2,1,1,"Hogg, RM {b1951-3-5}",7,155,0,NA,NA
19830317_00188_Sydney,2,1,1,"Wood, GM {b1956-11-6}",1,15,5,8,91
19830611_00201_Headgly,2,1,1,"Wood, GM {b1956-11-6}",1,18,2,NA,NA
19830615_00210_TheOval,2,1,1,"Vengsarkar, DB {b1956-4-6}",2,89,32,NA,NA
19831217_00230_GuhtiN,2,1,1,"Haynes, DL {b1956-2-15}",0,37,12,3,157
19850108_00283_Sydney,2,1,1,"Wood, GM {b1956-11-6}",2,96,52,NA,NA
19850212_00305_Sydney,1,1,1,"Wood, GM {b1956-11-6}",0,37,25,8,124
19850227_00313_MCG,2,1,1,"Richardson, RB {b1962-1-12}",0,20,11,NA,NA
19850227_00313_MCG,2,1,2,"Gomes, HA {b1953-7-13}",0,55,20,NA,NA
19860909_00391_Srinagr,1,1,1,"Vengsarkar, DB {b1956-4-6}",2,81,12,NA,NA
19870320_00436_HydrbdL,1,1,1,"Srikkanth, K {b1959-12-21}",1,7,2,NA,NA
19870521_00448_TheOval,2,1,1,"Gatting, MW {b1957-6-6}",1,83,2,NA,NA
19871030_00471_Cuttack,2,1,1,"Waller, AC {b1959-9-25}",0,10,5,4,97
19871122_00480_PeshwrA,2,1,1,Shoaib Mohammad {b1961-1-8},1,11,6,NA,NA
19881027_00528_Dhaka,1,1,1,Javed Miandad {b1957-6-12},3,67,25,NA,NA
19890321_00563_GeorgTn,2,1,1,"Srikkanth, K {b1959-12-21}",1,33,17,NA,NA
19891231_00598_Perth,2,1,1,"Mahanama, RS {b1966-5-31}",0,1,0,5,179
