match_id,team,teams,venue,venue_country,venue_location,competition,match_status,series_no,comp_match_no,captain,wicketkeeper,umpire1,umpire2,umpire3,umpire4,player1_of_match_team,player1_of_match,player2_of_match_team,player2_of_match,player3_of_match_team,player3_of_match,player4_of_match_team,player4_of_match,toss_winner,season_start_year,season_end_year,start_date,end_date,inns_per_side,overs_per_inns,days_for_match,winner,result_type,winning_margin,follow_on,reduced_balls,amended_target,amended_balls,innings,wickets,declared,runs,wides,noballs,byes,legbyes,penalties,time,team_batted,rest_days
20050217_00001_Aucklnd,Australia,1,Auckland,New Zealand,New Zealand,Other bilateral,ordinary,1,1,"Ponting, RT {b1974-12-19}","Gilchrist, AC {b1971-11-14}","Bowden, BF","Hill, AL",NA,NA,Australia,"Ponting, RT {b1974-12-19}",NA,NA,NA,NA,NA,NA,Australia,2004,2005,2005-02-17,2005-02-17,1,20,0,Australia,runs,44,0,NA,NA,NA,1,5,0,214,3,0,0,9,0,89,1,0
20050217_00001_Aucklnd,New Zealand,2,Auckland,New Zealand,New Zealand,Other bilateral,ordinary,1,1,"Fleming, SP {b1973-4-1}","McCullum, BB {b1981-9-27}","Bowden, BF","Hill, AL",NA,NA,Australia,"Ponting, RT {b1974-12-19}",NA,NA,NA,NA,NA,NA,Australia,2004,2005,2005-02-17,2005-02-17,1,20,0,Australia,runs,44,0,NA,NA,NA,1,10,0,170,2,0,0,0,0,76,1,0
20050613_00002_RoseBwl,England,1,Southampton Rose Bowl,England,England,Other bilateral,ordinary,2,1,"Vaughan, MP {b1974-10-29}","Jones, GO {b1976-7-14}","Llong, NJ","Lloyds, JW",NA,NA,England,"Pietersen, KP {b1980-6-27}",NA,NA,NA,NA,NA,NA,England,2005,2005,2005-06-13,2005-06-13,1,20,0,England,runs,100,0,NA,NA,NA,1,8,0,179,3,2,0,1,0,79,1,0
20050613_00002_RoseBwl,Australia,2,Southampton Rose Bowl,England,England,Other bilateral,ordinary,2,1,"Ponting, RT {b1974-12-19}","Gilchrist, AC {b1971-11-14}","Llong, NJ","Lloyds, JW",NA,NA,England,"Pietersen, KP {b1980-6-27}",NA,NA,NA,NA,NA,NA,England,2005,2005,2005-06-13,2005-06-13,1,20,0,England,runs,100,0,NA,NA,NA,1,10,0,79,1,2,1,2,0,64,1,0
20051021_00003_Wandrer,South Africa,1,Johannesburg (Wanderers),South Africa,South Africa,Other bilateral,ordinary,3,1,"Smith, GC {b1981-2-1}","Boucher, MV {b1976-12-3}","Howell, IL","Jerling, BG",NA,NA,New Zealand,"Patel, JS {b1980-5-7}",NA,NA,NA,NA,NA,NA,New Zealand,2005,2006,2005-10-21,2005-10-21,1,20,0,New Zealand,wickets,5,0,NA,NA,NA,1,10,0,133,1,4,1,2,0,83,1,0
20051021_00003_Wandrer,New Zealand,2,Johannesburg (Wanderers),South Africa,South Africa,Other bilateral,ordinary,3,1,"Fleming, SP {b1973-4-1}","McCullum, BB {b1981-9-27}","Howell, IL","Jerling, BG",NA,NA,New Zealand,"Patel, JS {b1980-5-7}",NA,NA,NA,NA,NA,NA,New Zealand,2005,2006,2005-10-21,2005-10-21,1,20,0,New Zealand,wickets,5,0,NA,NA,NA,1,5,0,134,3,4,1,3,0,81,1,0
20060109_00004_Gabba,Australia,1,Brisbane ('Gabba),Australia,Australia,Other bilateral,ordinary,4,1,"Ponting, RT {b1974-12-19}","Haddin, BJ {b1977-10-23}","Oxenford, BNJ","Parry, RL",NA,NA,Australia,"Martyn, DR {b1971-10-21}",NA,NA,NA,NA,NA,NA,Australia,2005,2006,2006-01-09,2006-01-09,1,20,0,Australia,runs,95,0,NA,NA,NA,1,3,0,209,8,0,4,3,0,82,1,0
20060109_00004_Gabba,South Africa,2,Brisbane ('Gabba),Australia,Australia,Other bilateral,ordinary,4,1,"Smith, GC {b1981-2-1}","Boucher, MV {b1976-12-3}","Oxenford, BNJ","Parry, RL",NA,NA,Australia,"Martyn, DR {b1971-10-21}",NA,NA,NA,NA,NA,NA,Australia,2005,2006,2006-01-09,2006-01-09,1,20,0,Australia,runs,95,0,NA,NA,NA,1,10,0,114,1,0,0,0,0,78,1,0
20060216_00005_Aucklnd,West Indies,1,Auckland,New Zealand,New Zealand,Other bilateral,ordinary,5,1,"Chanderpaul, S {b1974-8-16}","Ramdin, D {b1985-3-13}","Bowden, BF","Hill, AL",NA,NA,West Indies,"Smith, DR {b1983-4-12}",NA,NA,NA,NA,NA,NA,New Zealand,2005,2006,2006-02-16,2006-02-16,1,20,0,New Zealand,awarded to Team 2 after bowl-out,0,0,NA,NA,NA,1,7,0,126,2,2,1,5,0,80,1,0
20060216_00005_Aucklnd,New Zealand,2,Auckland,New Zealand,New Zealand,Other bilateral,ordinary,5,1,"Fleming, SP {b1973-4-1}","McCullum, BB {b1981-9-27}","Bowden, BF","Hill, AL",NA,NA,West Indies,"Smith, DR {b1983-4-12}",NA,NA,NA,NA,NA,NA,New Zealand,2005,2006,2006-02-16,2006-02-16,1,20,0,New Zealand,awarded to Team 2 after bowl-out,0,0,NA,NA,NA,1,8,0,126,5,0,0,5,0,85,1,0
