match_id,teams,innings,player,batter,howout,fielder,bowler,score,fours,sixes,ballsfaced,time,out,fow_n,fow
20080418_00001_Bangalr,1,1,1,"Ganguly, SC {b1972-7-8}",c,"Kallis, JH {b1975-10-16}",Zaheer Khan {b1978-10-7},10,2,0,12,0,1,1,61
20080418_00001_Bangalr,1,1,2,"McCullum, BB {b1981-9-27}",not out,,,158,10,13,73,0,0,NA,NA
20080418_00001_Bangalr,1,1,3,"Ponting, RT {b1974-12-19}",c,"Kumar, P {b1986-10-2}","Kallis, JH {b1975-10-16}",20,1,1,20,0,1,2,112
20080418_00001_Bangalr,1,1,4,"Hussey, DJ {b1977-7-15}",c,"White, CL {b1983-8-18}","Noffke, AA {b1977-4-30}",12,1,0,12,0,1,3,172
20080418_00001_Bangalr,1,1,5,Mohammad Hafeez {b1980-10-17},not out,,,5,1,0,3,0,0,NA,NA
20080418_00001_Bangalr,2,1,1,"Dravid, RS {b1973-1-11}",bowled,,"Sharma, I {b1988-9-2}",2,0,0,3,0,1,1,4
20080418_00001_Bangalr,2,1,2,"Jaffer, W {b1978-2-16}",c,"Ponting, RT {b1974-12-19}","Dinda, AB {b1984-3-25}",6,0,0,16,0,1,4,24
20080418_00001_Bangalr,2,1,3,"Kohli, V {b1988-11-5}",bowled,,"Dinda, AB {b1984-3-25}",1,0,0,5,0,1,2,9
20080418_00001_Bangalr,2,1,4,"Kallis, JH {b1975-10-16}",c,"Kartik, M {b1976-9-11}","Agarkar, AB {b1977-12-4}",8,0,1,7,0,1,3,24
20080418_00001_Bangalr,2,1,5,"White, CL {b1983-8-18}",c,"Saha, WP {b1984-10-24}","Agarkar, AB {b1977-12-4}",6,0,0,10,0,1,7,43
20080418_00001_Bangalr,2,1,6,"Boucher, MV {b1976-12-3}",c,"Kartik, M {b1976-9-11}","Ganguly, SC {b1972-7-8}",7,1,0,9,0,1,5,38
20080418_00001_Bangalr,2,1,7,"Akhil, B {b1977-10-7}",c,"Ponting, RT {b1974-12-19}","Agarkar, AB {b1977-12-4}",0,0,0,2,0,1,6,38
20080418_00001_Bangalr,2,1,8,"Noffke, AA {b1977-4-30}",run out,,,9,1,0,10,0,1,8,57
20080418_00001_Bangalr,2,1,9,"Kumar, P {b1986-10-2}",not out,,,18,1,2,15,0,0,NA,NA
20080418_00001_Bangalr,2,1,10,Zaheer Khan {b1978-10-7},bowled,,"Ganguly, SC {b1972-7-8}",3,0,0,8,0,1,9,70
20080418_00001_Bangalr,2,1,11,"Joshi, SB {b1969-6-6}",c,"McCullum, BB {b1981-9-27}","Shukla, LR {b1981-5-6}",3,0,0,6,0,1,10,82
